name, maxlevel, text
"Handguns_ShortRangeDrills"     , 1, "Rangers:手枪:短距离训练"
"Handguns_ControlledPairs"      , 2, "Rangers:手枪:控制连射"
"Handguns_PrecisionShooting"    , 1, "Rangers:手枪:要害射击"
"Handguns_MediumRangeDrills"    , 2, "Rangers:手枪:中距离训练"
"Handguns_ReloadDrills"         , 1, "Rangers:手枪:快速换弹"
"Handguns_TransitionDrills"     , 1, "Rangers:手枪:切换武器"
"Handguns_SuppressorUse"        , 1, "Rangers:手枪:消音射击"
"Rifles_ShortRangeDrills"       , 1, "Rangers:步枪:短距离训练"
"Rifles_RoomClearingDrills"     , 2, "Rangers:步枪:清除训练"
"Rifles_CloseRangeBurst"        , 2, "Rangers:步枪:短距离连射"
"Rifles_ReloadDrills"           , 1, "Rangers:步枪:快速换弹"
"Rifles_MediumRangeDrills"      , 1, "Rangers:步枪:中距离训练"
"Rifles_MediumRangeBurst"       , 4, "Rangers:步枪:中距离连射"
"Rifles_SurgicalShooting"       , 2, "Rangers:步枪:精准射击"
"Rifles_ObscuredTargets"        , 2, "Rangers:步枪:障碍射击"
"Rifles_BarricadeShooting"      , 1, "Rangers:步枪:掩体射击"
"Rifles_LongRangeDrills"        , 2, "Rangers:步枪:远距离训练"
"Support_AssaultSAWs"           , 2, "Rangers:支援:突击训练"
"Support_AssaultMarksmen"       , 2, "Rangers:支援:狙击手训练"
"Support_ImprovedSuppression"   , 1, "Rangers:支援:增强压制"
"Support_Melee"                 , 1, "Rangers:支援:近战训练"
"Support_LanguageBasics"        , 1, "Rangers:支援:语言技能"
"Support_ThrowablesTraining"    , 1, "Rangers:支援:投掷物训练"
"Support_SelfFirstAid"          , 1, "Rangers:精英:自我急救"
"Elite_ExtraConditioning"       , 1, "Rangers:精英:额外锻炼"
"Elite_AdvancedLanguage"        , 1, "Rangers:精英:高级语言技能"
"Elite_AdvancedShooting"        , 1, "Rangers:精英:高级射击"
"Elite_AdvancedCombatives"      , 1, "Rangers:精英:高级格斗"
"Elite_ExplosiveBreaching"      , 1, "Rangers:精英:爆破训练"
"Elite_ViolenceOfAction"        , 1, "Rangers:精英:暴烈行为"
"NWS_ShortRangeDrills"          , 2, "SWAT:手枪:基础手枪射击"
"NWS_MediumRangeDrills"         , 2, "SWAT:手枪:中距离训练"
"NWS_LongRangeDrills"           , 1, "SWAT:手枪:远距离比赛"
"NWS_ShotPlacement"             , 2, "SWAT:手枪:精确瞄准"
"NWS_FastReload"                , 1, "SWAT:手枪:快速换弹"
"NWS_Bursts"                    , 2, "SWAT:步枪:连射训练"
"NWS_FastFire"                  , 1, "SWAT:步枪:迅速连射"
"NWS_Recoil"                    , 2, "SWAT:步枪:后坐力控制"
"NWS_LongRange"                 , 1, "SWAT:步枪:远距离练习"
"NWS_Spotting"                  , 1, "SWAT:步枪:射击观察"
"NWS_Reload"                    , 1, "SWAT:步枪:装弹乐趣"
"NWS_Accuracy"                  , 1, "SWAT:步枪:精准专训"
"NWS_Crit"                      , 2, "SWAT:步枪:精准打击"
"NWS_ScopeAdvantage"            , 1, "SWAT:步枪:瞄具优势"
"NWS_FastTargetSwitch"          , 1, "SWAT:步枪:快速切换目标"
"NWS_USWeapons"                 , 1, "SWAT:步枪:熟悉美制武器"
"NWS_ShieldSpeed"               , 1, "SWAT:盾牌:盾牌训练"
"NWS_ShieldAccuracy"            , 1, "SWAT:盾牌:单手射击"
"NWS_ImprovedStacking"          , 1, "SWAT:盾牌:改进队形"
"NWS_StackTactics"              , 1, "SWAT:盾牌:盾牌战术"
"NWS_ShieldBrace"               , 1, "SWAT:盾牌:盾牌支撑"
"NWS_ShieldReload"              , 1, "SWAT:盾牌:单手换弹"
"NWS_SurvivalRate"              , 2, "SWAT:老兵:改进救援"
