name                      , length
1911 Pistol               , nan
1911 Pistol CIA BOps      , nan
AK 105 Alpha CIA BOps     , nan
AK 105 Alpha Sup CIA BOps , nan
AKM GL NWS                , nan
AKM NWS                   , nan
AKM NWS Militia           , nan
AKS 74U CIA BOps          , nan
AKS 74USup CIA BOps       , nan
APC9K NWS                 , nan
APC9K Sup NWS             , nan
AR M14 NWS                , nan
Breacher Shotgun          , nan
FAL NWS                   , nan
G17 Pistol CIA BOps       , nan
G17 Pistol NWS            , nan
G17 Pistol NWS Militia    , nan
G19 Pistol CIA BOps       , nan
G19Custom Pistol CIA BOps , nan
G19Sup Pistol CIA BOps    , nan
G19X Pistol               , nan
G19X Pistol CIA BOps      , nan
G2240 Pistol              , nan
G2240 Pistol CIA BOps     , nan
HK45CT CIA BOps           , nan
HK45CT CIA UCov           , nan
HK45CTSup CIA BOps        , nan
HK45CTSup CIA UCov        , nan
HS45 Pistol Asset         , nan
HS45 Pistol NWS           , nan
LAMG                      , nan
LAMG CIA BOps             , nan
LAMG Sup                  , nan
LAMG Sup CIA BOps         , nan
M1014                     , nan
M110A1                    , nan
M110A1 CIA BOps           , nan
M110A1Sup                 , nan
M110A1Sup CIA BOps        , nan
M14EBR                    , nan
M16A4                     , 1.133
M16A4 NWS                 , nan
M16A4 NWS Militia         , nan
M16A4/M203                , nan
M16A4Marksman             , nan
M17 Pistol                , nan
M17 Pistol CIA BOps       , nan
M18 Pistol                , nan
M18 Pistol CIA BOps       , nan
M240L                     , nan
M249 NWS                  , nan
M249SPW                   , nan
M249SPW CIA BOps          , nan
M249SPW Sup CIA BOps      , nan
M249Sup                   , nan
M4 CIA BOps               , nan
M4 CIA Undercover         , nan
M4 Carbine                , nan
M4 NWS                    , nan
M4 Sup CIA BOps           , nan
M4 Sup NWS                , nan
M4 URGI                   , nan
M4 URGI/M320              , nan
M4 URGI/M320Sup           , nan
M4 URGISup                , nan
M4/M203                   , nan
M4/M203 NWS               , nan
M4/M203 NWSSup            , nan
M4/M203Sup                , nan
M4Sup                     , nan
M500PP                    , nan
M500PP NWS                , nan
M9 Pistol                 , nan
M9 Pistol CIA BOps        , nan
M9 Pistol NWS             , nan
M9 Pistol NWS Militia     , nan
M9Sup Pistol              , nan
M9Sup Pistol NWS          , nan
MG338                     , nan
MG338Sup                  , nan
MK 18                     , nan
MK 18 CIA BOps            , nan
MK 18Sup                  , nan
MK 18Sup CIA BOps         , nan
MK17CQC                   , nan
MK17CQC CIA BOps          , nan
MK17CQC EGLM              , nan
MK17CQC EGLM Sup          , nan
MK17CQC Sup               , nan
MK17CQC Sup CIA BOps      , nan
MK17LB                    , nan
MK17LB Sup                , nan
MK17STD                   , nan
MK17STD CIA BOps          , nan
MK17STD EGLM              , nan
MK17STD EGLM Sup          , nan
MK17STD Sup               , nan
MK17STD Sup CIA BOps      , nan
MK18/M203                 , nan
MK18/M203Sup              , nan
MK20SSR                   , nan
MK20SSRSup                , nan
MK48                      , nan
MK48 CIA BOps             , nan
MK48 Sup CIA BOps         , nan
MK48Sup                   , nan
MP5A                      , nan
MP5A CIA BOps             , nan
MP5A Sup CIA BOps         , nan
MP5K CIA BOps             , nan
MP5K Sup CIA BOps         , nan
MP5KPDW CIA BOps          , nan
MP5KPDW Sup CIA BOps      , nan
MP5SD                     , nan
MP5SD CIA Bops            , nan
MP7 CIA BOps              , nan
MP7Sup CIA BOps           , nan
MPS45Sup Pistol           , nan
Mini Uzi CIA              , nan
Mini Uzi NWS              , nan
Mini Uzi Pistol NWS       , nan
PKP CIA BOps              , nan
PM63 CIA                  , nan
PM63 Fergie               , nan
PPK Pistol CIA            , nan
PPK Sup Pistol CIA        , nan
RPK NWS                   , nan
RPK NWS Militia           , nan
Rattler CIA BOps          , nan
RattlerSup CIA BOps       , nan
SVD CIA BOps              , nan
SVD NWS                   , nan
SVU NWS                   , nan
Sawnoff CIA               , nan
SniperRifle               , nan
TSS4 Pistol               , nan
Type 56 CIA BOps          , nan
Type 56 NWS               , nan
Type 56 NWS Militia       , nan
VSS CIA BOps              , nan
Vulcan NWS                , nan
Vulcan Sup NWS            , nan
